Week,Slot,Topic,Problem ID,Title,Difficulty,URL,Status,Notes
Week 1,Mon,prefix sums,math_and_algorithm_c,003. Sum of N Integers,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_c,,
Week 1,Tue,prefix sums,math_and_algorithm_ai,038. How Many Guests?,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_ai,,
Week 1,Wed,difference array,math_and_algorithm_aj,039. Snowy Days,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_aj,,
Week 1,Thu,strings,abc042_b,B. Iroha Loves Strings (ABC Edition),616,https://atcoder.jp/contests/abc042/tasks/abc042_b,,
Week 1,Sat-1,strings,abc053_b,B. A to Z String,44,https://atcoder.jp/contests/abc053/tasks/abc053_b,,
Week 1,Sat-2,basic loops,abc081_b,B. Shift only,-12,https://atcoder.jp/contests/abc081/tasks/abc081_b,,
Week 2,Mon,two pointers,abc130_d,D. Enough Array,865,https://atcoder.jp/contests/abc130/tasks/abc130_d,,
Week 2,Tue,two pointers,abc174_d,D. Alter Altar,486,https://atcoder.jp/contests/abc174/tasks/abc174_d,,
Week 2,Wed,sliding window,abc154_d,D. Dice in Line,485,https://atcoder.jp/contests/abc154/tasks/abc154_d,,
Week 2,Thu,sliding window,abc210_c,C. Colorful Candies,357,https://atcoder.jp/contests/abc210/tasks/abc210_c,,
Week 2,Sat-1,prefix sums,abc122_c,C. GeT AC,700,https://atcoder.jp/contests/abc122/tasks/abc122_c,,
Week 2,Sat-2,subarray window,abc369_c,C. Count Arithmetic Subarrays,315,https://atcoder.jp/contests/abc369/tasks/abc369_c,,
Week 3,Mon,map,tessoku_book_bb,A54. Map,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_bb,,
Week 3,Tue,set,tessoku_book_bc,A55. Set,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_bc,,
Week 3,Wed,hashing,tessoku_book_bd,A56. String Hash,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_bd,,
Week 3,Thu,anagram counting,abc137_c,C. Green Bin,597,https://atcoder.jp/contests/abc137/tasks/abc137_c,,
Week 3,Sat-1,counting,abc091_b,B. Two Colors Card Game,310,https://atcoder.jp/contests/abc091/tasks/abc091_b,,
Week 3,Sat-2,counting,abc155_c,C. Poll,189,https://atcoder.jp/contests/abc155/tasks/abc155_c,,
Week 4,Mon,stack,tessoku_book_ay,A51. Stack,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_ay,,
Week 4,Tue,queue,tessoku_book_az,A52. Queue,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_az,,
Week 4,Wed,priority queue,tessoku_book_ba,A53. Priority Queue,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_ba,,
Week 4,Thu,stack,math_and_algorithm_bp,086. Parentheses Check,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_bp,,
Week 4,Sat-1,linked list / deque,abc237_d,D. LR insertion,544,https://atcoder.jp/contests/abc237/tasks/abc237_d,,
Week 4,Sat-2,deque,abc158_d,D. String Formation,610,https://atcoder.jp/contests/abc158/tasks/abc158_d,,
Week 5,Mon,sorting,math_and_algorithm_aa,027. Sorting,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_aa,,
Week 5,Tue,binary search,tessoku_book_k,A11. Binary Search 1,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_k,,
Week 5,Wed,binary search,tessoku_book_cj,B11. Binary Search 2,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_cj,,
Week 5,Thu,intervals,abc256_d,D. Union of Interval,546,https://atcoder.jp/contests/abc256/tasks/abc256_d,,
Week 5,Sat-1,intervals,abc233_d,D. Count Interval,726,https://atcoder.jp/contests/abc233/tasks/abc233_d,,
Week 5,Sat-2,interval scheduling,math_and_algorithm_bn,082. Interval Scheduling Problem,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_bn,,
Week 6,Mon,tree distances,abc070_d,D. Transit Tree Path,1182,https://atcoder.jp/contests/abc070/tasks/abc070_d,,
Week 6,Tue,tree coloring,abc126_d,D. Even Relation,1279,https://atcoder.jp/contests/abc126/tasks/abc126_d,,
Week 6,Wed,tree propagation,abc138_d,D. Ki,920,https://atcoder.jp/contests/abc138/tasks/abc138_d,,
Week 6,Thu,tree edge coloring,abc146_d,D. Coloring Edges on Tree,1192,https://atcoder.jp/contests/abc146/tasks/abc146_d,,
Week 6,Sat-1,graph connectivity,math_and_algorithm_am,043. Is It Connected?,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_am,,
Week 6,Sat-2,shortest path (unweighted),math_and_algorithm_an,044. Shortest Path Problem,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_an,,
Week 7,Mon,union-find,practice2_a,A. Disjoint Set Union,,https://atcoder.jp/contests/practice2/tasks/practice2_a,,
Week 7,Tue,mst,tessoku_book_bo,A67. MST (Minimum Spanning Tree),,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_bo,,
Week 7,Wed,shortest path,tessoku_book_bl,A64. Shortest Path 2,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_bl,,
Week 7,Thu,shortest path + restore,tessoku_book_ek,B64. Shortest Path with Restoration,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_ek,,
Week 7,Sat-1,bipartite graph,math_and_algorithm_ao,047. Bipartite Graph,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_ao,,
Week 7,Sat-2,scc,practice2_g,G. SCC,,https://atcoder.jp/contests/practice2/tasks/practice2_g,,
Week 8,Mon,greedy,abc149_b,B. Greedy Takahashi,,https://atcoder.jp/contests/abc149/tasks/abc149_b,,
Week 8,Tue,scheduling,abc131_d,D. Megalomania,588,https://atcoder.jp/contests/abc131/tasks/abc131_d,,
Week 8,Wed,priority queue + greedy,abc137_d,D. Summer Vacation,1313,https://atcoder.jp/contests/abc137/tasks/abc137_d,,
Week 8,Thu,greedy,math_and_algorithm_bm,081. Bill Changing Problem,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_bm,,
Week 8,Sat-1,greedy,math_and_algorithm_bg,073. Sum of Maximum,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_bg,,
Week 8,Sat-2,sorting/greedy,math_and_algorithm_bh,074. Sum of difference Easy,,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_bh,,
Week 9,Mon,backtracking,abc145_c,C. Average Length,335,https://atcoder.jp/contests/abc145/tasks/abc145_c,,
Week 9,Tue,bit manipulation,tessoku_book_d,A04. Binary Representation 1,,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_d,,
